,symbol,open_date,close_date,open_price,close_price,position_size,exit_reason,profit_loss,change_pct,trade_commission,cumulative_return
132,2317,2021-01-22,2021-03-04,117.5,115.5,84610,Low prediction,-169220.0,-1.7021276595744705,57410.00025,967166173.7064562
133,2354,2021-01-22,2021-03-04,72.5,71.4,137127,Low prediction,-150839.69999999923,-1.5172413793103412,57491.5232025,966957842.4832537
134,2317,2021-01-28,2021-03-04,120.0,115.5,59277,Low prediction,-266746.5,-3.749999999999998,40432.100737500004,966650663.8825163
135,2354,2021-02-02,2021-03-04,74.2,71.4,134448,Low prediction,-376454.3999999996,-3.7735849056603765,56694.03264000001,966217515.4498763
136,2317,2021-02-03,2021-03-04,118.0,115.5,81692,Low prediction,-204230.0,-2.1186440677966156,55488.269850000004,965957797.1800263
137,2317,2021-02-05,2021-03-04,115.0,115.5,84410,Low prediction,42205.0,0.43478260869564966,56973.584625,965943028.5954013
138,2354,2021-02-05,2021-03-04,71.7,71.4,135386,Low prediction,-40615.79999999962,-0.4184100418409997,56607.25585500001,965845805.5395463
139,2317,2021-02-17,2021-03-04,115.0,115.5,79118,Low prediction,39559.0,0.43478260869564966,53401.683075,965831962.8564713
140,2354,2021-02-17,2021-03-04,71.0,71.4,128149,Low prediction,51259.600000000726,0.5633802816901401,53453.51088000001,965829768.9455913
141,2603,2021-01-05,2021-03-10,45.0,38.45,221907,Low prediction,-1453490.8499999994,-14.555555555555543,51985.32073875,964324292.7748526
142,4938,2021-01-05,2021-03-10,67.9,73.7,147069,Low prediction,853000.1999999996,8.54197349042709,62192.53872000001,965115100.4361327
143,2603,2021-01-05,2021-03-10,45.0,38.45,220609,Low prediction,-1444988.9499999995,-14.555555555555543,51681.24314625001,963618430.2429864
144,2603,2021-01-06,2021-03-10,44.75,38.45,223650,Low prediction,-1408994.9999999993,-14.07821229050279,52313.9715,962157121.2714864
145,2603,2021-01-22,2021-03-10,32.45,38.45,306378,Low prediction,1838268.0,18.489984591679498,66294.837585,963929094.4339014
146,2408,2021-03-04,2021-03-10,92.9,88.0,103176,Low prediction,-505562.4000000006,-5.274488697524227,53835.431220000006,963369696.6026814
147,2327,2021-01-05,2021-03-12,519.0,579.0,19240,Low prediction,1154400.0,11.560693641618492,63523.746,964460572.8566813
148,2454,2021-01-05,2021-03-12,796.0,900.0,12544,Low prediction,1304576.0,13.065326633165819,64185.139200000005,965700963.7174814
149,3661,2021-01-05,2021-03-12,683.0,923.0,14620,Low prediction,3508800.0,35.13909224011713,73941.381,969135822.3364813
150,3665,2021-01-05,2021-03-12,270.0,282.5,36985,Low prediction,462312.5,4.629629629629628,60463.5403125,969537671.2961688
151,2454,2021-01-12,2021-03-12,857.0,900.0,11384,Low prediction,489512.0,5.017502917152861,59239.2054,969967944.0907688
152,2327,2021-01-19,2021-03-12,608.0,579.0,14848,Low prediction,-430592.0,-4.7697368421052655,50905.9968,969486446.0939689
153,2327,2021-01-22,2021-03-12,607.0,579.0,16378,Low prediction,-458584.0,-4.612850082372322,56128.2249,968971733.8690689
154,2454,2021-01-22,2021-03-12,914.0,900.0,10877,Low prediction,-152278.0,-1.5317286652078765,57484.401150000005,968761971.4679189
155,2327,2021-01-28,2021-03-12,577.0,579.0,12328,Low prediction,24656.0,0.34662045060658286,41721.6504,968744905.8175188
156,2327,2021-02-02,2021-03-12,582.0,579.0,17141,Low prediction,-51423.0,-0.5154639175257714,58132.415925,968635350.4015938
157,2454,2021-02-02,2021-03-12,925.0,900.0,10785,Low prediction,-269625.0,-2.7027027027026973,57167.240625000006,968308558.1609688
158,3661,2021-02-02,2021-03-12,844.0,923.0,11820,Low prediction,933780.0,9.36018957345972,62492.0445,969179846.1164688
159,3665,2021-02-02,2021-03-12,299.0,282.5,33365,Low prediction,-550522.5,-5.518394648829428,55924.3276875,968573399.2887813
160,2327,2021-02-03,2021-03-12,601.0,579.0,16039,Low prediction,-352858.0,-3.660565723793674,54829.321500000005,968165711.9672813
161,2454,2021-02-05,2021-03-12,955.0,900.0,10164,Low prediction,-559020.0,-5.759162303664922,54310.063500000004,967552381.9037813
162,2454,2021-02-17,2021-03-12,1000.0,900.0,9098,Low prediction,-909800.0,-9.999999999999998,49197.435,966593384.4687814
163,3661,2021-02-17,2021-03-12,870.0,923.0,10458,Low prediction,554274.0,6.091954022988499,55678.65345,967091979.8153313
164,3665,2021-02-17,2021-03-12,303.0,282.5,30030,Low prediction,-615615.0,-6.765676567656764,50505.580125,966425859.2352064
165,3665,2021-02-25,2021-03-12,305.0,282.5,30075,Low prediction,-676687.5,-7.377049180327866,50666.9765625,965698504.7586439
166,2357,2021-01-05,2021-03-15,251.0,322.5,39784,Low prediction,2844556.0,28.486055776892428,71003.9967,968472056.7619438
167,2357,2021-01-22,2021-03-15,282.0,322.5,35254,Low prediction,1427787.0,14.36170212765957,64476.481275,969835367.2806689
168,2357,2021-02-02,2021-03-15,285.0,322.5,35003,Low prediction,1312612.5,13.157894736842103,64167.0620625,971083812.7186064
169,2357,2021-02-05,2021-03-15,289.5,322.5,33531,Low prediction,1106523.0,11.398963730569944,61683.6276,972128652.0910064
170,2360,2021-01-22,2021-03-18,198.5,188.0,50084,Low prediction,-525882.0,-5.289672544080604,55831.76505,971546938.3259563
171,2379,2021-01-05,2021-03-19,386.0,458.0,25869,Low prediction,1862568.0,18.65284974093264,66656.6523,973342849.6736563
172,1326,2021-01-13,2021-03-22,86.4,84.0,122724,Low prediction,-294537.6000000007,-2.777777777777779,60726.28968,972987585.7839763
173,1326,2021-01-19,2021-03-22,81.5,84.0,110771,Low prediction,276927.5,3.0674846625766916,54038.2477125,973210475.0362638
174,1301,2021-02-24,2021-03-22,100.5,96.6,98723,Low prediction,-385019.70000000054,-3.88059701492538,56338.0076025,972769117.3286613
175,1301,2021-02-25,2021-03-22,100.5,96.6,91273,Low prediction,-355964.70000000054,-3.88059701492538,52086.534727499995,972361066.0939338
176,1326,2021-02-25,2021-03-22,86.4,84.0,106169,Low prediction,-254805.60000000062,-2.777777777777779,52534.54458,972053725.9493538
177,1301,2021-02-26,2021-03-22,98.5,96.6,93127,Low prediction,-176941.30000000054,-1.9289340101522945,52879.140322499996,971823905.5090313
178,1326,2021-02-26,2021-03-22,87.3,84.0,105076,Low prediction,-346750.7999999997,-3.7800687285223344,52128.466290000004,971425026.2427413
179,1301,2021-03-04,2021-03-22,101.0,96.6,94901,Low prediction,-417564.40000000055,-4.35643564356436,54224.53337999999,970953237.3093613
180,1326,2021-03-04,2021-03-22,87.8,84.0,109169,Low prediction,-414842.19999999966,-4.32801822323462,54236.796735,970484158.3126264
181,1301,2021-03-10,2021-03-22,103.0,96.6,92197,Low prediction,-590060.8000000005,-6.213592233009713,52942.28331,969841155.2293164
182,1326,2021-03-10,2021-03-22,88.5,84.0,107303,Low prediction,-482863.5,-5.0847457627118615,53416.7746875,969304874.9546288
183,1301,2021-03-12,2021-03-22,105.5,96.6,91676,Low prediction,-815916.4000000005,-8.436018957345981,52969.70522999999,968435988.8493989
184,1326,2021-03-12,2021-03-22,89.5,84.0,108066,Low prediction,-594363.0,-6.145251396648044,53950.599675000005,967787675.2497238
185,1301,2021-03-15,2021-03-22,104.0,96.6,110652,Low prediction,-818824.8000000006,-7.115384615384624,63697.37706,966905153.0726638
186,1326,2021-03-15,2021-03-22,88.6,84.0,129886,Low prediction,-597475.5999999993,-5.191873589164775,64677.38313,966243000.0895338
187,3034,2021-01-05,2021-03-24,360.0,526.0,27738,Low prediction,4604508.0,46.1111111111111,78791.1759,970768716.9136338
188,3034,2021-02-05,2021-03-24,469.0,526.0,20699,Low prediction,1179843.0,12.153518123667384,62011.616625,971886548.2970089
189,3034,2021-02-17,2021-03-24,526.0,526.0,17298,Low prediction,0.0,0.0,53227.6758,971833320.6212089
